EPTS_CONCEPT_NAME,EPTS_CONCEPT_id,EPTS_CONCEPT_uuid,POC_CONCEPT_NAME,POC_CONCEPT_id,POC_CONCEPT_uuid
CARGA VIRAL,856,e25ffa50-1d5f-11e0-b929-000c29ad1d07,Carga Viral,8192,b8a3b82d-28f8-4b3f-a7e3-4a214e1903e7
CD4 ABSOLUTO,5497,e24d0bca-1d5f-11e0-b929-000c29ad1d07,CD4,8193,428012b2-6273-4d4c-89a9-8dc8bdaaecde
HB.,21,e2619e78-1d5f-11e0-b929-000c29ad1d07,HB,8204,07ae22e1-5980-4e8c-b03f-b81a26c2bc37
ALT,654,e25e7964-1d5f-11e0-b929-000c29ad1d07,ALT,8185,04e0b154-14ab-4572-a5f5-240f7e8e5fa6
AST,653,e25f7580-1d5f-11e0-b929-000c29ad1d07,AST,8187,4a000baf-b0f8-411b-a458-47998fbc35c4
GLUCOSE,887,e24d2ca4-1d5f-11e0-b929-000c29ad1d07,GLICEMIA,8202,c01f352f-bf69-4482-a687-b459e342341a
,,,,,
DATA DE INICIO DO TARV,1190,beac4fb9-e330-4022-b75d-ed5f03fbca98,,,
REGIME,1088,27edd246-945d-4234-8767-cefc4a14e03a,,,
"ESTA GRAVIDA ",1982,e254577c-1d5f-11e0-b929-000c29ad1d07,Pregnancy_Yes_No,8011,c27f4ca4-77ce-11e9-8f9e-2a86e4085a59
LACTAÇÃO,6332,b18dafe0-9b1c-4a6e-acbe-63dbab86ad10,Breastfeeding_ANA,8016,42b1f2a0-8085-11e9-bc42-526af7764f64
USO DE ISONIAZIDA,6122,19f6e0b8-5a65-4b16-a71e-069ebbca9c97,INH,8328,a3c0778c-7b95-11e9-8f9e-2a86e4085a59
DATA DE INICIO DA PROFILAXIA COM ISONIAZIDA,6128,78726301-dd4f-4cb3-96d6-ff54a44dfe78,Data de Inicio,8332,a3c07f98-7b95-11e9-8f9e-2a86e4085a59
DATA DE FIM DA PROFILAXIA COM ISONIAZIDA,6129,eaf4d73b-6796-42c6-a017-80043d0ed55d,Data de Fim,8343,a3c0888a-7b95-11e9-8f9e-2a86e4085a59
PROFILAXIA COM COTRIMOXAZOL.,6121,b8d4d132-08a5-4d8b-8f84-71c507c77f9f,CTZ,8329,a3c079f8-7b95-11e9-8f9e-2a86e4085a59
DATA DE INICIO DA PROFILAXIA COM COTRIMOXAZOL,6126,200fd378-962f-433e-8f08-8bcdb0718f47,Data de Inicio,8332,a3c07f98-7b95-11e9-8f9e-2a86e4085a59
DATA DE FIM DA PROFILAXIA COM COTRIMOXAZOL,6127,098c23ae-22ef-4e12-8259-3ed9a84555ab,Data de Fim,8343,a3c0888a-7b95-11e9-8f9e-2a86e4085a59
EM TRATAMENTO DE TUBERCULOSE,5965,e24c51b2-1d5f-11e0-b929-000c29ad1d07,Tem Sintomas de TB,8279,f23c15cc-7ac0-11e9-8f9e-2a86e4085a59
DATA DE INICIO DO TRATAMENTO TB,1113,e24fc93c-1d5f-11e0-b929-000c29ad1d07,Data de Início de Tratamento,8332,a3c07f98-7b95-11e9-8f9e-2a86e4085a59
DATA DE FIM DO TRATAMENTO TB,6120,ff31bb0c-cfe5-4b06-9cc8-e8b8ca677ec9,Data de Fim de Tratamento,8343,a3c0888a-7b95-11e9-8f9e-2a86e4085a59
ESTADIO OMS ACTUAL,5356,e24c61c0-1d5f-11e0-b929-000c29ad1d07,Estadiamento_Estádio OMS,7766,41829c82-7d5f-11e9-8f9e-2a86e4085a59
,,,,,
,,,,,
,,,,,
DATA DE PROXIMA CONSULTA,1410,e24a2bc6-1d5f-11e0-b929-000c29ad1d07,,,
DATA DO PROXIMO LEVANTAMENTO DE ARV,5096,e2513e84-1d5f-11e0-b929-000c29ad1d07,,,
SUBSTITUICAO DE REGIME;,1372,e249fd2c-1d5f-11e0-b929-000c29ad1d07,,,
MUDANCA DE REGIME,1371,e25b58b0-1d5f-11e0-b929-000c29ad1d07,,,
,,,,,
REGIME,1088,27edd246-945d-4234-8767-cefc4a14e03a,,,
,,,,,
,,,PP_Key_population,7985,5f696138-7632-11e9-8f9e-2a86e4085a59
,,,Reference_Section_Support_Group,8235,890bed95-27a8-47a5-b3a3-83199f35a561
,,,,,
,,,,,
,,,Reference_MDC_Section,8246,1cb55e07-f392-44df-8dd5-ab781cd27db5
,,,,,
,,,,,
TRANSFERIDO PARA;,1706,e24e2b72-1d5f-11e0-b929-000c29ad1d07,,,
TRANSFERIDO PARA NOME DA UNIDADE SANITARIA,2059,e2569686-1d5f-11e0-b929-000c29ad1d07,,,
ABANDONO,1707,e24e2c58-1d5f-11e0-b929-000c29ad1d07,,,
